episode,step,timestep,actor_loss,critic_loss,entropy,action_std,step_reward,cumulative_reward
0,1,64,4.17712036430148e+19,0.31641762852668764,-24.383926391601562,0.2,-0.1,-55.400000000000055
0,2,128,1.3090467197655512e+20,0.35704310834407804,-24.383926391601562,0.2,-0.1,-120.59999999999982
0,3,192,6.4263493693053336e+16,0.43889411091804503,-24.383926391601562,0.2,-0.1,-175.99999999999952
0,4,256,1.2212507426759168e+19,0.4476668477058411,-24.383926391601562,0.2,-0.1,-241.19999999999922
0,300,-274.99999999999943,300,0.2,episode_length
1,5,320,2.0132410188104098e+19,0.46379526555538175,-24.383926391601562,0.2,-0.1,-16.70000000000001
1,6,384,3.790733089570838e+21,0.46730413734912873,-24.383926391601562,0.2,-0.1,-77.00000000000003
1,7,448,385871753849859.9,0.4657986581325531,-24.383926391601562,0.2,-0.1,-127.49999999999972
1,8,512,7.184691123260754e+16,0.4765294522047043,-24.383926391601562,0.2,-0.1,-197.59999999999943
1,9,576,2.471482521204619e+22,0.4660519927740097,-24.383926391601562,0.2,-0.1,-267.6999999999993
1,600,-299.4999999999997,300,0.2,episode_length
2,10,640,5.830868365106788e+21,0.44995428919792174,-24.383926391601562,0.2,-5.0,-57.90000000000003
2,11,704,2.6647846985508855e+24,0.46880683302879333,-24.383926391601562,0.2,-5.0,-137.7999999999998
2,12,768,1.5668344249907065e+25,0.4659109503030777,-24.383926391601562,0.2,-5.0,-222.59999999999954
2,13,832,1.807938134482208e+24,0.4772773802280426,-24.383926391601562,0.2,-5.0,-292.7
2,14,896,1.5323014158118124e+21,0.41660687029361726,-24.383926391601562,0.2,-0.1,-357.90000000000117
2,900,-358.30000000000126,300,0.2,episode_length
